Iteration;Lambda;X1;X2;F_x
;Himmelblau;;;
0;;0;0;170
1;0,1722438125;2,411413375;3,789363875;97,4144601757402
2;0,00396142578125;2,38733291194427;3,21373945326372;37,0215769801012
3;0,00567788671875;2,43558139045848;2,82027258826012;16,5408617050749
4;0,01282126171875;2,62941966154276;2,38765594528448;4,65464250621686
5;0,012448591796875;2,81868303564836;2,27177948933853;1,57321868606935
6;0,02026883984375;2,95796166212048;2,12309053815628;0,232890758841023
7;0,01444485546875;2,96628332808694;2,0696700168411;0,0796991485488902
8;0,0165239609375;2,98380781060014;2,03984143917223;0,0242103669762685
9;0,0285126875;2,99496702872856;2,00941674298025;0,0015015748226535
10;0,0258379296875;2,99970068840117;2,00369357794167;0,000213522403885404
11;0,01259883203125;2,99904871662714;2,00218274115983;7,3016551257695E-05
12;0,0215490703125;2,99962421361738;2,00099117621353;1,44835702348776E-05
13;0,0174725;2,99976362860851;2,00053328072447;4,38177860039137E-06
14;0,0165573828125;2,99987661275473;2,00031123711005;1,44221885205564E-06
15;0,0173893984375;2,99992713462181;2,00017009573349;4,40450458652235E-07
16;0,0280502265625;2,99998295243782;2,00004873354419;3,45122598501875E-08
17;0,018841853515625;2,99998835697533;2,00002393684503;9,18239260735302E-09
;Extremum;2,99998835697533;2,00002393684503;9,18239260735302E-09
