Iteration;Lambda;X1;X2;F_x;norm_X
;Rosenbrok;;;;
0;;-2;2;;
1;0,000333126291998991;-1,46499917504962;2,1332505167996;6,09304838287644;0,551345248392462
2;0,000269504831500294;-1,45827693976096;2,13478393045945;6,04986969545338;0,0068949115098255
3;0,00112011730198974;-1,45895606279143;2,13271576556733;6,04819795266859;0,00217681283336367
4;0,000141640786499874;-1,45770161517186;2,13285000424499;6,04662703136365;0,00126160962775005
5;-5E-05;-1,45729091018583;2,13305473875633;6,04703572484138;0,000458906096801973
6;0,00158699100999075;-1,45814838621061;2,13008454483998;6,04400500977652;0,00309149106966536
7;0,00078947550600286;-1,45607344899318;2,1294651271878;6,04097415335423;0,00216541974779261
8;0,000197368876500715;-1,45678441613709;2,12888774985035;6,04023444260306;0,00091588147133222
9;0,000477398201998149;-1,45563893707366;2,12847548307671;6,03936087226272;0,00121740961775486
10;8,54101966249684E-05;-1,45658392934593;2,12800662477014;6,03886214100573;0,00105491161064424
11;0,00311580404802288;-1,45283916589994;2,12403716423177;6,03409706498651;0,00545709357003758
12;0,000621670111997308;-1,45459490939524;2,12238335070699;6,02930940648;0,00241199800912599
13;0,000141640786499874;-1,45390895505695;2,12237972534105;6,02894264956414;0,000685963918504334
14;0,00577846834422006;-1,45369891560327;2,1126872296683;6,02066898335801;0,00969477121639629
15;3,81966011250105E-05;-1,45208507822401;2,11317721196194;6,01486134572228;0,00168658048570329
16;0,000941787413987045;-1,44999699234958;2,11230584433585;6,01211783410584;0,00226260561273379
17;0,00129844718999243;-1,45098542977945;2,10977105041481;6,00927644522605;0,00272069637683552
18;0,000224922359499621;-1,44972792643901;2,10982421275703;6,00774923720984;0,00125862658713659
19;0,0002;-1,45022812236667;2,10931360001012;6,00740255355531;0,000714787621146322
20;8,54101966249684E-05;-1,44962610434523;2,10937669973976;6,00700557604939;0,000605315846490605
21;0,021846242017634;-1,44344043784729;2,0745937365135;5,97836952261331;0,0353286993933159
22;0,000566563145999495;-1,4377516540221;2,07560522862138;5,94981638411716;0,00577800810782463
23;0,00226625258399798;-1,43838971886948;2,071541596617;5,94640831468146;0,00411342093840284
24;0,000297058314499201;-1,43643597866313;2,07171619943983;5,94322241742076;0,00196152668594202
