Iteration;Lambda;X1;X2;F_x
;Himmelblau;;;
0;;0;0;170
1;0,15669;2,19366;3,44718;57,5911276152208
2;0,0065733095703125;2,25870305356183;2,84179514478084;20,4608888104744
3;0,014265359375;2,55749935475609;2,38828562453603;5,87982321453118
4;0,0115940078125;2,77387372418714;2,29659344565337;2,11689885536636
5;0,0190902890625;2,94758140437762;2,15129278457869;0,35711473650173
6;0,0177830546875;2,96075370752915;2,06891178452397;0,0853866492793782
7;0,0151216640625;2,98301434608081;2,04372486475852;0,0288967177073677
8;0,01464610546875;2,98845129244293;2,02628490216459;0,0107272346292166
9;0,02766521875;2,99741326012858;2,00751628693375;0,000822130235578884
10;0,02300103125;2,99835209272861;2,00279849623259;0,000141491862854826
11;0,01747909765625;2,99950362010925;2,00170839908183;4,18092827927508E-05
12;0,02025275;2,99955532164185;2,0007317074041;9,91246795206828E-06
13;0,0161936953125;2,99985110212438;2,00047266609673;3,21151653440994E-06
14;0,014911216796875;2,99987442561482;2,00027736173857;1,19479812160843E-06
15;0,02999728515625;2,9999867560741;2,00006976402613;7,0752779221873E-08
16;0,01499757421875;2,99998052844601;2,00003816096024;2,3923897679065E-08
;Extremum;2,99998052844601;2,00003816096024;2,3923897679065E-08
